Marca,Modelo,Ano_Fabricacao,Ano_Modelo,Quilometragem,Combustivel,Cambio,Cor,Num_Portas,Estado_Venda,Preco_Listagem,Foi_Vendido
Toyota,SW4,2010,2011,186132,Flex,Automático,Azul,4,RS,10000,0
Honda,Civic,2008,2008,218715,Flex,Manual,Branco,4,MG,10000,1
Chevrolet,Onix,2007,2008,151494,Flex,Manual,Branco,2,DF,10000,0
Chevrolet,Spin,2007,2008,163891,Flex,Manual,Azul,4,RJ,10000,0
Toyota,Hilux,2005,2006,309655,Flex,Automático,Vermelho,4,MG,10000,0
Renault,Oroch,2016,2017,152281,Flex,Manual,Branco,2,GO,10000,0
Renault,Clio,2020,2021,50871,Flex,Manual,Branco,4,DF,30248,0
Jeep,Compass,2012,2013,100924,Gasolina,Automatizado,Prata,4,RJ,18850,1
Renault,Clio,2009,2010,316243,Flex,Automático,Prata,4,ES,10000,0
Nissan,Sentra,2009,2009,287369,Flex,Automático,Prata,4,RS,10000,0
Fiat,Cronos,2021,2022,21188,Flex,Automático,Cinza,2,GO,40007,1
Toyota,RAV4,2018,2018,127755,Gasolina,Automático,Azul,4,RJ,36706,0
Toyota,RAV4,2013,2013,76375,Flex,Automático,Marrom,4,DF,27037,0
Fiat,Palio,2022,2023,19771,Flex,Manual,Preto,4,DF,42406,1
Volkswagen,Gol,2009,2010,192778,Flex,CVT,Vermelho,2,PE,10000,0
Honda,CR-V,2007,2007,229268,Flex,Manual,Branco,4,RJ,10000,0
Citroën,C4 Cactus,2009,2010,153389,Flex,Automático,Branco,4,CE,10000,0
Citroën,C3,2007,2007,108188,Gasolina,Automático,Preto,4,DF,10000,0
Volkswagen,Nivus,2010,2011,154731,Flex,Manual,Azul,4,CE,10000,0
Citroën,C3,2011,2012,160737,Flex,Manual,Preto,4,GO,10000,0
Chevrolet,Montana,2023,2024,27379,Flex,Manual,Prata,4,MG,33200,1
Jeep,Compass,2024,2024,25180,Flex,Manual,Marrom,4,RS,82187,1
Peugeot,2008,2013,2013,114400,Flex,Automático,Preto,4,PR,16581,1
Renault,Duster,2017,2018,93071,Flex,Automatizado,Prata,4,RS,14906,1
Hyundai,i30,2023,2023,25926,Diesel,Automático,Azul,2,BA,69353,1
Peugeot,2008,2021,2022,43781,Flex,Automatizado,Cinza,4,SC,36095,1
Honda,WR-V,2019,2019,103315,Flex,Manual,Prata,2,PE,36744,1
Ford,Ranger,2012,2012,156282,Flex,Manual,Branco,4,SC,10000,1
Hyundai,HB20,2012,2012,266627,Flex,Automático,Azul,4,RS,10000,0
Chevrolet,Tracker,2018,2018,79327,Flex,Manual,Cinza,2,BA,21576,0
Volkswagen,T-Cross,2016,2017,163477,Flex,Automático,Cinza,4,MG,10000,0
Peugeot,208,2022,2023,47023,Flex,Manual,Preto,4,CE,50292,0
Peugeot,3008,2009,2010,213974,Flex,Automático,Vermelho,4,DF,10000,0
Nissan,March,2009,2009,271566,Flex,Manual,Prata,4,MG,10000,0
