Marca,Modelo,Ano_Fabricacao,Ano_Modelo,Quilometragem,Combustivel,Cambio,Cor,Num_Portas,Estado_Venda,Preco_Listagem,Foi_Vendido
Citroën,C4 Cactus,2021,2021,61954,Flex,Manual,Azul,2,RS,26474,0
Citroën,C4 Cactus,2014,2015,93163,Flex,Manual,Vermelho,4,CE,21368,0
Jeep,Renegade,2012,2013,185837,Flex,Manual,Prata,2,BA,10000,0
Volkswagen,Up!,2007,2008,151272,Flex,Automático,Prata,4,DF,10000,0
Hyundai,HB20S,2019,2020,66456,Flex,CVT,Marrom,2,SC,36429,1
Renault,Kwid,2009,2009,163069,Flex,Automático,Cinza,2,DF,10000,0
Nissan,Frontier,2006,2006,263572,Flex,Automático,Preto,2,ES,10000,0
Chevrolet,Montana,2008,2009,248018,Flex,Automático,Branco,4,GO,10000,0
Renault,Kwid,2007,2007,254398,Flex,Manual,Cinza,4,DF,10000,1
Jeep,Commander,2014,2015,118978,Flex,Automático,Preto,4,GO,17647,0
Honda,City,2014,2015,152766,Flex,Manual,Branco,2,SC,18012,0
Fiat,Argo,2020,2020,99205,Flex,Automático,Branco,2,SP,18676,0
Fiat,Uno,2008,2009,234562,Flex,Automático,Marrom,2,ES,10000,0
Ford,Ranger,2021,2022,23894,Gasolina,Manual,Prata,4,CE,43623,0
Honda,CR-V,2024,2024,25819,Flex,Manual,Cinza,4,SP,60100,1
Peugeot,2008,2013,2013,105819,Flex,CVT,Cinza,4,SC,13292,0
Hyundai,Tucson,2005,2005,429555,Flex,Manual,Marrom,2,SC,10000,0
Peugeot,3008,2015,2015,141331,Gasolina,Manual,Branco,2,PR,11177,0
Peugeot,3008,2019,2020,47197,Flex,Manual,Azul,4,SP,36397,0
Hyundai,i30,2009,2010,179193,Flex,Manual,Prata,4,ES,10000,1
Chevrolet,Tracker,2021,2022,31888,Flex,Automático,Cinza,2,CE,23875,1
Peugeot,2008,2024,2024,7517,Flex,Automatizado,Vermelho,4,BA,62313,0
Ford,Ka,2013,2013,147799,Gasolina,Automatizado,Prata,4,PE,10204,1
Ford,Ranger,2017,2017,122526,Flex,Automático,Marrom,4,ES,18331,0
Toyota,Corolla,2005,2005,319102,Flex,Automático,Cinza,2,RJ,10000,0
Peugeot,3008,2018,2019,45450,Gasolina,Automático,Vermelho,4,SP,33658,1
Chevrolet,Tracker,2011,2012,250695,Flex,Manual,Branco,4,RS,10000,0
Hyundai,HB20,2011,2012,141804,Gasolina,Manual,Cinza,4,RJ,11830,1
Volkswagen,T-Cross,2017,2018,93541,Flex,Automático,Preto,4,ES,19714,0
